Artist,Album,ReleaseDate,SongName,TrackNumber,Lyrics
blink-182,One More Time…,10/20/23,Blink Wave,11,"""Hey,"" you said, I'm sorry but I ain't quite heaven-sent
My nervous system's just a nervous wreck
And on and on we're torn apart and strung along
Yeah, we tried, but never could escape the long goodbye
And crashed into the dark beneath the ice
And in my dreams I lie awake and kick the sheets

You are so inordinary
Seems so scary to be buried

You know I just can't keep my mind off you
The pain's so deep, I can't get through
With the midnight black and white tattoos
'Cause the same old fights, they just won't do (they won't do)

""Hey,"" you said, I'm sorry but I just got filled with dread
I'm haunted by the voice inside my head
And on and on, this broken heart will carry on

You are so inordinary
Seems so scary to be buried

You know I just can't keep my mind off you
The pain's so deep, I can't get through
With the midnight black and white tattoos
'Cause the same old fights, they just won't do
Now I just can't keep my mind off you
This hurts so bad, I can't get through
But I always say, ""I'll wait for you""
'Cause the same old girls, they just won't do

Save me like the last time
The best ten days of my life
The best ten days of my life
Save me, save me like the last time
The last ten days of my life
The last ten days of my life

You know I just can't keep my mind off you
The pain's so deep, I can't get through
With the midnight black and white tattoos
'Cause the same old fights, they just won't do
Now I just can't keep my mind off you
This hurts so bad, I can't get through
But I always say, ""I'll wait for you""
'Cause the same old girls, they just won't do
And now I just can't keep my mind off you
This hurts so bad, I can't get through
But I always say, ""I'll wait for you""
'Cause the same old girls, they just won't do"
blink-182,One More Time…,10/20/23,Bad News,12,"I'm givin' you bad, bad news
I think I might've fallen out of love with you
Years of fighting and hiding feelings
All those nights staring at the ceiling

I keep on thinkin' that I might be better alone
(I might be better alone)
Sometimes when I get back from work, I wish no one was home
(I wish no-one was home)
I start reminiscin' 'bout good times we had
Like I'm always missin' what we can't get back

I'm givin' you bad, bad news
I think I might've fallen out of love with you
Years of fighting and hiding feelings
All those nights starin' at the ceiling
I'm givin' you bad, bad news
Now I think I know what I already knew
The truth is out, so there's no pretending
I guess there's no such thing as a happy ending

This is the last song I'll ever write for you
No more tellin' me I'm not right for you
Save your breath, there's nothing left to do
This is the last song I'll ever write for you

I'm givin' you bad, bad news
I think I might've fallen out of love with you
Years of fighting and hiding feelings
All those nights starin' at the ceiling
I'm givin' you bad, bad news
Now I think I know what I already knew
The truth is out, so there's no pretending
I guess there's no such thing as a happy ending"
blink-182,One More Time…,10/20/23,Hurt (Interlude),13,"Have you hurt like this before? (Oh-oh, oh-oh)
When your heart's already torn (Oh-oh, oh-oh)
When your tears are on my mind (Oh-oh, oh-oh)
We fall apart there every time (Oh-oh, oh-oh)
Have you loved like this before? (Oh-oh, oh-oh)
Someone's heart laid on the floor (Oh-oh, oh-oh)
Yeah, we know that love is blind (Oh-oh, oh-oh)
Yeah, it's damaging those eyes"
blink-182,One More Time…,10/20/23,Turpentine,14,"Soak your clothes in kerosene
Cleanse the mind with ketamine
Slide your mom on top of me
Wash yourself with turpentine!

My arms I've raised again
Today I don't feel tethered
I have no path within
Don't know if I'll get better

My own mind's unclean
Can't taste anything

What if I'm not like the others?
A broken man, a Frankenstein
What if my heart won't recover?
I'll clean myself with turpentine

Working at the factory
Stick the veins of nicotine
Wash yourself with turpentine!

I feel like I'll cave in
I'm anxious, I am weathered
I've lost my way again
I know there ain't no treasure

My mind breaks with ease
Sticks and stones and dreams

What if I'm not like the others?
A broken man, a Frankenstein
What if my heart won't recover?
I'll clean myself with turpentine

Working at the factory
Stick the veins of nicotine
Wash yourself with turpentine (turpentine, turpentine, turpentine)

Sharks smell the blood in the water
We're all just lambs to the slaughter
It's only all the time, this time
A generation lost and forgotten
Clawing at the lid of the coffin
Your god ain't comin' back this time

Quit your job and have a drink
Take a pound of ecstasy
Blah, bl-blah, bl-blah, fuck
Wash yourself with turpentine!

What if I'm not like the others?
A broken man, a Frankenstein
What if my heart won't recover?
I'll clean myself with turpentine

Like me like a trampoline
Stick your dick in Ovaltine
Snort a bag of dramamine
Douse yourself in gasoline
Throw up in a limousine
Jack off to a magazine
Wash yourself with turpen... tine, goddammit"
blink-182,One More Time…,10/20/23,Fuck Face,15,"Shut up, you talk too much, you talk too much, you talk too much
Shut up, you talk too much, you talk too much, you talk too much

Shut up, you talk too much, you talk too much, you talk too much
Shut up, you talk too much, you talk too much, you talk too fucking much"
blink-182,One More Time…,10/20/23,Other Side,16,"They took you away on a Tuesday
A lightning bolt without a cloud in the sky
We grew up Siouxsie and The Banshees
10:15 on a Saturday Night

It'll never be the same stage right
But we'll always have that coffee life
I'll see you again on the other side

How'd you get back to the hotel?
Where did you end up at the end of the night?
How can I go back to Holmdel?
How can you leave without saying goodbye?

It'll never be the same stage right
But we'll always have that coffee life
I'll see you again on the other side

Captured lights through barricades
Long lost nights and better days

It'll never be the same stage right
But we'll always have that coffee life
I'll see you again on the other side
It'll never be the same stage right
But we'll always have that coffee life
I'll see you again on the other side"
blink-182,One More Time…,10/20/23,Childhood,17,"I see signs up in the sky, disappear before my eyes
Woah-oh, woah-oh
Guess we're all desensitized, forgot the meaning of our lives
Woah-oh, woah-oh

What's going on with me? Everybody seems
So lost, I wanna leave
2023, who the fuck are we?

Remember when we were young
And we'd laugh at everything?
Got caught up in a world
That forgot how to dream
I'd never thought we'd end up here
We're back in time, to the best years
Remember when we were young?
We thought we knew everything

Where did our childhood go?
I wanna know
Where did our childhood go?
I wanna know

We just need some time away, take me back to yesterday
Woah-oh, woah-oh
Why is everyone afraid to be themselves, not imitate?
Woah-oh, woah-oh

What's going on with me? Everybody seems
So lost, I wanna leave
2023, who the fuck are we?

Remember when we were young
And we'd laugh at everything?
Got caught up in a world
That forgot how to dream
I'd never thought we'd end up here
We're back in time, to the best years
Remember when we were young?
We thought we knew everything

Where did our childhood go?
I wanna know
Where did our childhood go?
I wanna know"
blink-182,Nine,9/20/19,The First Time,1,"Yeah, yeah, yeah, yeah, yeah

First drink of the night just to get me right
The first light of the day, I know I got it all wrong
First pill that you drop only sets it off
The next morning you wake up all blurry and numb
Before all the damn insecurities
Before all your innocence is all lost
Think back to the time you were all alone
One day you'll look back and say, ""Where's it all gone?""

Sometimes we get lost inside our little heads
Don't sleep just yet, we all know that there's nothing like the
First love, first high, there ain't nothing like the first time
Passed out last night, there ain't nothing like the first time

Taking all her meds (First love)
Sleeping with her friends (First high)
Find out in the end, there ain't (There ain't)
Nothing like the first time (Nothing like the first time)
Stuck inside her head (Passed out)
Jumping in her bed (Last night)
Find out in the end, there ain't (There ain't)
Nothing like the first time (Nothing like the first time)

Yeah, yeah, yeah, yeah, yeah
(Nothing like the first time)

First time on a plane, so she's paranoid
Tried to make her feel safe, but said it all wrong
First time in L.A., so she can't avoid
Feeling like she's failing all along

Sometimes we get lost inside our little heads
Don't sleep just yet, we all know that there's nothing like the
First love, first high, there ain't nothing like the first time
Passed out last night, there ain't nothing like the first time

Taking all her meds (First love)
Sleeping with her friends (First high)
Find out in the end, there ain't (There ain't)
Nothing like the first time (Nothing like the first time)
Stuck inside her head (Passed out)
Jumping in her bed (Last night)
Find out in the end, there ain't (There ain't)
Nothing like the first time (Nothing like the first time)

Yeah, yeah, yeah, yeah, yeah
(Nothing like the first time)
Yeah, yeah, yeah, yeah, yeah
(Nothing like the first time)"
blink-182,Nine,9/20/19,Happy Days,2,"Hey, kid, don't quit your daydream yet
I know you feel locked out in the cold
Seems like you're lost and alone
Hey, kid, don't listen to your head
It only fills you with dread and with doubt
Left looking for an easy way out

I know you don't know
Oh no, you don't know

I wanna feel happy days, happy days
Happy days, happy days
Walls of isolation inside of my pain
And I don't know if I'm ready to change
I wanna feel happy days, happy days
Happy days, happy days
All of this frustration inside of my brain
And I don't know if I'm ready to change

Some nights, you call for the jaws of life
To pull you out of the crash
A forgotten ghost from your past
When enough doesn't cut it
When you're backed up against a wall
Is it the life that you wanted
When you could never have it all?

I wanna feel happy days, happy days
Happy days, happy days
Walls of isolation inside of my pain
And I don't know if I'm ready to change
I wanna feel happy days, happy days
Happy days, happy days
All of this frustration inside of my brain
And I don't know if I'm ready to change

Face down in the deep end
Face down every weekend
Face down and I'm bleeding
There's no sound when you're leaving
We faced all of our demons
We chased all of our dreams and
Don't know where it leads us
We don't care at all

I wanna feel happy days, happy days
Happy days, happy days
Walls of isolation inside of my pain
And I don't know if I'm ready to change
I wanna feel happy days, happy days
(Face down in the deep end)
Happy days, happy days
(Face down every weekend)
All of this frustration inside of my brain
And I don't know if I'm ready to change

I wanna feel happy days"
blink-182,Nine,9/20/19,Heaven,3,"I don't believe that we were ever meant to be
Left underneath the light of dying stars (Dying stars)
Push me off of the edge of the world (Fall apart)
Watch me as I slowly fall apart
Set fire to the roof of your house
And waited for the sirens to wail (Sirens wail)
Left your favorite records to melt (Left to melt)
Listen as you damned me to hell

Angel wings at the bus stop
Halos left on top of the bar
Heaven doesn't want me now
Heaven doesn't want me
Angel wings at the bus stop
Halos left on top of the bar
Heaven doesn't want me now
Heaven doesn't want me

Well, what did I think would happen?
I wouldn't dream of asking
You waited here for me so long
I lived in fear that you moved on
What have I done to us? It seems
I've broken trust and shattered dreams
I only wish I'd spoken of
The loneliness since we broke up

Angel wings at the bus stop
Halos left on top of the bar
Heaven doesn't want me now
Heaven doesn't want me
Angel wings at the bus stop
Halos left on top of the bar
Heaven doesn't want me now
Heaven doesn't want me
(Heaven doesn't want me)
(Heaven doesn't want me)

Say a prayer that you'll make it to the other side
It won't make no sense and you lose your mind
We're lost in our ways (We're lost in our ways)
Nothing left to say, no (Nothing left to say)
Make a wish that you'll get a chance to say goodbye
Before the shots ring out in the dead of night
We're stuck in our ways (We're stuck in our ways)
I've got so much to say, oh (I've got so much to say)
Showed up like shadows in this crowd
Brought the fire blinding
Came here to quickly tear us down, down, down

Angel wings at the bus stop (Whoa)
Halos left on top of the bar
Heaven doesn't want me now
Heaven doesn't want me (Whoa)
Angel wings at the bus stop
Halos left on top of the bar
Heaven doesn't want me now
Heaven doesn't want me"
blink-182,Nine,9/20/19,Darkside,4,"She's a girl dressed in black from another world
Lives and breathes like a girl from another world
She don't know my name (She don't know my name)
She don't have the time of day
Celebrate, medicate 'til we numb the pain
In the sun, it's still dark, like it always rains
She don't feel the same (She don't feel the same)
She don't have the time of day

And I wait, and I wait, and I wait
And I wait, and I wait, and I wait
And I wait for her
And I wait, and I wait, and I wait
And I wait, and I wait, and I wait
And I wait for her

I don't care what you say, no
I don't care what you do
I'm goin' to the darkside with you
I'm goin' to the darkside with you
I don't care what you say, no
I don't care what you do
I'm goin' to the darkside with you
I'm goin' to the darkside with you

She's a girl, I look back to what could have been
Her cloak and dagger, mouth tastes like medicine
She won't last the night (She won't last the night)
Spun out in the neon light
You would leave, but you need me to numb the pain
You're possessed and you slept through another day
You don't feel the same
And I don't have the strength to stay

And I wait, and I wait, and I wait
And I wait, and I wait, and I wait
And I wait for her
And I wait, and I wait, and I wait
And I wait, and I wait, and I wait
And I wait for her

I don't care what you say, no
I don't care what you do
I'm goin' to the darkside with you
I'm goin' to the darkside with you
I don't care what you say, no
I don't care what you do
I'm goin' to the darkside with you
I'm goin' to the darkside with you

(Oh) I'm goin' to the darkside with you
(Oh) I'm goin' to the darkside with you
I don't care what you say, no
I don't care what you do
I'm goin' to the darkside with you
I'm goin' to the darkside

I don't care what you say, no
I don't care what you do
I'm goin' to the darkside with you
I'm goin' to the darkside with you

(Oh) I'm goin' to the darkside with you
(Oh) I'm goin' to the darkside with you"
blink-182,Nine,9/20/19,Blame It on My Youth,5,"Blame it, blame it on my youth

I wasn't born with the rich blood
I started out with plenty of nothing at all
I got stuck in the thick mud
The flash flood, punk rock, and the alcohol
I was raised on a rerun
I was bored to death, so I started a band
Cut my teeth on a safety dance
My attention span never stood a chance

It's too late
Can you forgive me now?

You could never kill my high
I'm the ink and you're the headline (Oh)
Blame it, blame it on my youth
Blame it, blame it on my youth
You can never block my shine
I've been lost since 1999 (Oh)
Blame it, blame it on my youth
Blame it, blame it on my youth
(Blame, blame, blame on my youth)

I wasn't made for the good life
I ended up getting stuck on the side of the road
I tripped and fell on hard times
Tough breaks are the only kind I know
I was left on a door step
I was scared to death with nowhere to go
Cut myself on the neighbors' fence
That I hopped as the cops tried to take me in

It's too late
Can you forgive me now?

You could never kill my high
I'm the ink and you're the headline (Oh)
Blame it, blame it on my youth
Blame it, blame it on my youth
You could never block my shine
I've been lost since 1999 (Oh)
Blame it, blame it on my youth
Blame it, blame it on my youth

I was raised on the Ritalin
Ever since I was a little kid (Little kid)
No one ever seemed to give a shit (Give a shit)
And I don't need an excuse
I don't need an excuse

You could never kill my high
I'm the ink and you're the headline
Blame it, blame it on my youth
Blame it, blame it on my youth
You can never block my shine
I've been lost since 1999 (Oh)
Blame it, blame it on my youth
Blame it, blame it on my youth
You can never kill my high (Endless summer)
I'm the ink and you're the headline (Stretching on and on)
Blame it, blame it on my youth (Oh, oh)
Blame it, blame it on my youth (Oh, oh)

Endless summer
Stretching on and on"
blink-182,Nine,9/20/19,Generational Divide,6,"Is it better?
Is it better now?
Are we better?
Are we better now?
Is it better?
Is it better now?
Are we better?
Are we better now?

All we needed was your lifeline (Is it better? Is it better now?)
We swore we'd be better than the last time (Are we better? Are we better now?)
Don't leave, tell me that you're all right (Is it better? Is it better now?)
I'm not the generational divide (Are we better? Are we better now?)"
blink-182,Nine,9/20/19,Run Away,7,"Leave me in the sun, I'm melting like a Popsicle
Give me the flu, I'm dying in this hospital
I need you close, but you got me backed against a wall
I try to speak, but my mouth doesn't move at all

Sing me right back to sleep
We'll never hear your voice break down again
Need you to try to keep
Your distance and I'll come home again

Run away
Don't let me run away, no
Get away
Don't let me get away, no
And when the lights come up and you see I'm gone
You wake up to an empty house
And when the music stops, and you come undone
You know I'm never gonna get you out of my head

Met you in the dark, where we stumble in the mysteries
An opened book that you took and now I'm history
You moved away and you left me with your dying wish
I couldn't prove it was you, you're the arsonist

Sing me right back to sleep
We'll never hear your voice break down again
Need you to try to keep
Your distance and I'll come home again

Run away
Don't let me run away, no
Get away
Don't let me get away, no
And when the lights come up and you see I'm gone
You wake up to an empty house
And when the music stops, and you come undone
You know I'm never gonna get you out of my head

Run away
Don't let me run away, no
Get away
Don't let me get away, no
Run away
Don't let me run away, no
Get away
Don't let me get away, no

Run away
Don't let me run away, no
Get away
Don't let me get away, no
And when the lights come up and you see I'm gone
You wake up to an empty house
And when the music stops, and you come undone
You know I'm never gonna get you out of my head

Run away
Don't let me run away, no
Get away
Don't let me get away, no"
blink-182,Nine,9/20/19,Black Rain,8,"Tragedy (Tragedy)
Erased my memory (Erased my memory)
And now all I see
Is this black rain
Oh, tragedy (Tragedy)
You took my everything (You took my everything)
Oh, now all I feel
All I feel is pain
Oh, how can I go on
Knowing that I lost you?
Where did I go wrong?
Where did you run off to?
Lost down here, broken and alone

I went and searched for some answers
But all I found were monsters
They're under my bed
They're haunting this tie that's been severed
This tie that's been severed
Now I follow your footsteps
Through the ashes you once crept
I feel so hollow now
I'm trapped on this island
This island of regret

Tragedy (Tragedy)
Erased my memory (Erased my memory)
And now all I see
Is this black rain
Oh, tragedy (Tragedy)
You took my everything (You took my everything)
Oh, now all I feel
All I feel is pain
Oh, how can I go on
Knowing that I lost you?
Where did I go wrong?
Where did you run off to?
Lost down here, broken and alone

They left a note on the front door
With a time and a place as the tears poured from my eyes
Straight to the floor, there was no going back once we knew what they came for
And all I have here is heartache
And bones, and mirrors for me to break
Only so much bad luck a person can take
We quiver and quake, we shiver and shake

Tragedy (Tragedy)
Erased my memory (Erased my memory)
And now all I see
Is this black rain
Oh, tragedy"
blink-182,Nine,9/20/19,I Really Wish I Hated You,9,"I don't really like myself without you
Every song I sing is still about you
Save me from myself the way you used to
'Cause I don't really like myself without you
I really wish I hated you

A little drunk, waiting on your phone call
A little numb, maybe I can't feel at all
You stitch me up but you can't stop me bleeding out
I'm better when I'm broken

I love you, but I hate you when you're with someone else
And I want you wrapped around me, but I don't trust myself
I drove by your house, but you don't live there anymore

'Cause I don't really like myself without you
Every song I sing is still about you
Save me from myself the way you used to
'Cause I don't really like myself without you
I really wish I hated you right now
Won't you say something?
Won't you say something?
I really wish I hated you
Won't you say something?
Won't you say something?
I really wish I hated you

The sun is out, I'm dying in the daytime
I think about the future that we left behind
I drank it all, but I can't shake you from my mind
Now every window's broken

I love you, but I hate you when you're with someone else
And I want you wrapped around me, but I don't trust myself
I drove by your house, but you don't live there anymore

'Cause I don't really like myself without you
Every song I sing is still about you
Save me from myself the way you used to
'Cause I don't really like myself without you
I really wish I hated you right now
Won't you say something?
Won't you say something?
I really wish I hated you
Won't you say something?
Won't you say something?
I really wish I hated you

I can see that you've had enough
I can see that you're giving up on me
I can see that your hands are up
I can see that you're giving up on me
I hate the way that you're better off, better off
I numb the pain but it never stops, never stops
Wish I could say that I'm better off, better off now

But I don't really like myself without you
Every song I sing is still about you
Save me from myself the way you used to
'Cause I don't really like myself without you
I really wish I hated you right now
Won't you say something?
Won't you say something?
I really wish I hated you
Won't you say something?
Won't you say something?
I really wish I hated you

Won't you say something?
Won't you say something?
I really wish I hated you
Won't you say something?
Won't you say something?
I really wish I hated you"
